"","-1/4-wave","+1/4-wave","cylinder","dihedral","dipole","left helix","narrow dihedral","random volume","right helix","trihedral","class"
"3020","0.394313699435955","0.942224859602901","0.485615466589617","0.824641754958622","0.844231210766426","0.823372278162116","0.7140744062186","0.445435338195335","0.78299874653897","0.563744287293899","rich"
"1770","0.498559124426109","0.833983581222253","0.401115518039353","0.912193047494823","0.735856697692022","0.833304688387274","0.836020518902557","0.31831046983349","0.850507324227089","0.377766193921621","poor"
"890","0.620797883126668","0.558566259977809","0.326912582497011","0.851303675614259","0.557788900499259","0.914325937899046","0.818543926389772","0.303110612092631","0.932787998120637","0.159571442576179","poor"
"3840","0.679518780904528","0.722977546020823","0.55579268075742","0.889465030614658","0.661702542155965","0.813752554708294","0.874574169526613","0.272495588727685","0.682941487708642","0.477919605193822","rich"
"1447","0.609117726579187","0.671639010757735","0.307050191509212","0.950854385691371","0.622101704742483","0.940775752939568","0.901677940487281","0.356553869697102","1.00135239717892","0.0793705131227418","poor"
"2389","0.581253352518315","0.65910055122632","0.712431264719815","0.624976799911957","0.435597198082025","0.691361706570424","0.718308834009344","0.395508216579776","0.742364717813009","0.616975238279377","rich"
"1853","0.629846558339682","0.653657954714144","0.682299712753703","0.75975023187211","0.359594150717718","0.887289699076593","0.862234917014076","0.425989850924535","0.773387262891184","0.507857438554085","poor"
"696","0.939694489426199","0.49546275595043","0.921737667285552","0.69433564008074","0.416840214913907","0.849732154825072","0.861206365372511","0.615418533739351","0.690037029181632","0.775883805427548","poor"
"203","0.567453492600772","0.745624310843514","0.434332376717137","0.957753786993869","0.547224793189757","0.920840895450771","0.956453897118413","0.361227203796138","0.974865276703803","0.199967358129469","poor"
"3527","0.550499874882294","0.754839301227308","0.536279458199065","0.820902183775482","0.614387235214958","0.736614895725286","0.812495103963711","0.263524547258615","0.774504366095796","0.463111109004275","rich"
"2940","0.644870849857748","0.554671351537194","0.26291914791188","0.858357648061965","0.647643770721507","0.897371159828796","0.785620211228732","0.273803242036113","0.897174972499012","0.196916916419848","rich"
"2503","0.57613648496676","0.629543303305406","0.303504400187618","0.69922121194275","0.84109088470302","0.784090958291626","0.521548851391782","0.423816789679912","0.891705226055224","0.495367753825373","rich"
"2862","0.693042917515453","0.544631316263498","0.475413312396373","0.857455696787167","0.488390328517948","0.968013131767169","0.876020165819226","0.34787424477267","0.840729544240673","0.290768416698152","rich"
"2225","0.645629733771775","0.627123361266647","0.298031554428941","0.917423057080712","0.664857503273849","0.89728971727366","0.84933799497522","0.314473954511282","0.941055127675906","0.198493377798007","rich"
"3707","0.589505231889344","0.556653175137821","0.347168270836824","0.795539547791171","0.558538423097537","0.812882446675844","0.761435887109218","0.199300180438131","0.880211456544558","0.245037405345414","rich"
"906","0.618991837333183","0.651201669828483","0.357901158881343","0.93160131723382","0.577962246327059","0.954813262233934","0.903991076157921","0.353899942364415","0.964559847261056","0.136662859809844","poor"
"3091","0.45481311156652","0.858153158743019","0.55978574594286","0.847111491341845","0.611597783073056","0.766932755549233","0.847610844481189","0.478304154112065","1.0287224429009","0.470981312521894","rich"
"567","0.579916899274766","0.641677920860492","0.679274185670232","0.713135365024443","0.275292521448784","0.815617728106031","0.831049667239265","0.384803551754318","0.80089008529222","0.496395781992482","poor"
"2963","0.662877640819253","0.562459663963915","0.302660396941953","0.872340509145508","0.64306282181312","0.908556264117866","0.808608538146429","0.27625756864917","0.872781231658436","0.220898188016408","rich"
"736","0.522580314537043","0.639894674237235","0.287659094543506","0.823009919739787","0.614058612042374","0.907674277693481","0.76233425073419","0.286669483319403","0.888280889685085","0.215779822265703","poor"
"149","0.705390469918647","0.595778155115877","0.444351654134363","0.945478487816524","0.516813162310164","0.920004648683536","0.954542150567009","0.358730869431423","0.976185160016673","0.193781139825613","poor"
"2679","0.989026831910545","0.57416832383867","0.675522462482577","0.941574662123239","0.779591812365701","0.811461513375661","0.920435962406058","0.461063873833658","0.701838601595521","0.632520363967639","rich"
"2405","0.57951451800454","0.685490695561838","0.383588607733346","0.818677025220452","0.718745449979352","0.773013267362695","0.735707506965699","0.283882006198787","0.840770120040591","0.402501392793027","rich"
"2435","0.970417249681484","0.502515246968858","0.607447479302008","0.975321909084557","0.676878795507097","0.880748944979546","0.974731764625717","0.495402862376955","0.914257036021917","0.495574873150644","rich"
